"Authors","Title","Journal","Year","study_design","aims","intervention1","intervention2","intervention3","description","inclusion_criterion1","inclusion_criterion2","inclusion_criterion3","inclusion_criterion4","inclusion_criterion5","inclusion_criterion6","inclusion_criterion7","inclusion_criterion8","exclusion_criterion1","exclusion_criterion2","exclusion_criterion3","exclusion_criterion4","exclusion_criterion5","exclusion_criterion6","exclusion_criterion7","exclusion_criterion8","exclusion_criterion9","exclusion_criterion10","exclusion_criterion11","exclusion_criterion12","exclusion_criterion13","exclusion_criterion14","exclusion_criterion15","exclusion_criterion16","exclusion_criterion17","exclusion_criterion18","exclusion_criterion19","exclusion_criterion20","exclusion_criterion21","exclusion_criterion22","exclusion_criterion23","exclusion_criterion24","exclusion_criterion25","exclusion_criterion26"
"Hellmann et al. 2008","Effect of subcutaneous apomorphine on tremor in idiopathic Parkinson's disease","Biomedicine and Pharmacotherapy","2008","Quasi-experimental study","Evaluate the extent of tremor suppression under apomorphine therapy","apomorphine",NA,NA,"After one week of domperidon treatment, medication was withdraw at least 12h. Apomorphine sc was administered at increasing dosage of1, 2, and 4mg. Assessment with UPDRS part III before apomorphine administration and 15 minutes after.","IPS according to unknown clinical criteria"," absence of motor fluctuations",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hiremath (2012)","Role of Matrabasti and Kapikacchu Beeeja Powder in Kampavata (Parkinson's Disease)","International Journal of Research in Ayurveda and Pharmacy","2012","Quasi-experimental study","To evaluate the effects of Mahamasha oil Matra (Enema) and Kapikacchu beeja (Mucuna pruriens seed) in Kampavata (iPS)","other",NA,NA,"Haritaki powder 10-15gm with lukewarm water at bed time before treatment, full body massage with bala oil followed by 15 min steam bath.  Mahamasha oil Matrabasti (enema) 70ml every day for nine days, Mucuna pruriens seeds powder 6gm tid with lukewarm water after meals for 48 days. Evaluation before treatment, on ninth day after completion of enema course and after completion of oral treatment at day 48","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"other systemic disorders and with other complications possibly interfering with treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hughes et al. 1990","Apomorphine in the Diagnosis and Treatment of Parkinsonian Tremor","Clin. Neuropharmacol.","1990","Quasi-experimental study","To compare the responses of rest tremor to single dose apomorphine and oral levodopa in 20 tremor-dominant IPS-patients","apomorphine"," levodopa",NA,"Antiparkinsonian medication paused for 12h, domperidone pre-treatment, first day afterwards 250mg levodopa with 25mg carbidopa. Second day apomorphine sc in 1.5, 3, 4.5mg doses at 30min intervals until tremor was supressed, dose limiting sight-effects were resported or maximum dose was achieved.","iPS according to unknown clinical criteria with tremor dominance",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ikeda et al. 2015","Preliminary study of zonisamide monotherapy in de novo patients with Parkinsons's disease","Neurol Clin Neurosci","2015","Quasi-experimental study","evaluate therapeutic effects of zonisamide monotherapy in early Parkinson's disease patients","zonisamide",NA,NA,"10 untreated patients (de novo) patients were given 25 mg Zonisamide daily for 1 month, 50 mg in month 2 and 3. UPDRS I-IV and tremor-related UPDRS (items 16 (II) ,20, 21(III)) examined every month.","iPS accordint to UK Brain Bank criteria"," no previous treatment with anti-parkinsonian medication",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jankovic et al. 2014","Symptomatic efficacy of rasagiline monotherapy in early Parkinson's disease: Post-hoc analyses from the ADAGIO trial","Parkinsonism Relat. Disord.","2014","Randomised-controlled trial (RCT)","To analyse the efficacy of 1mg rasagiline monotherapy in early iPS","rasagiline",NA,NA,"Patients randomised to 4 groups: a. 1mg rasagiline qd, b. 2 mg rasagiline qd, c. and d. delayed start with placebo respectively. Double-blind placebo-controlled phase for 36 weeks.","IPS according to clinical diagnosis with at least two of the symptoms bradykinesia, tremor, rigidity without any other known or suspected cause of parkinsonism","unilateral onset and persistent asymmetry If tremor is not present"," stable clinical condition not requiring anti-PD treatment for the next 9 months",NA,NA,NA,NA,NA,"Age younger than 30 or older than 80 years"," loss of postural reflexes"," UPDRS Tremor score of 3 or greater in any limb"," Hoehn &Yahr Stage III or greater at screening"," freezing while walking"," features that tend to exclude PD as the cause of Parkinsonism (repeated strokes or head injurys, definite encephalitis, Sustained remission, Supranuclear gaze palsy, Cerebellar signs, Early severe autonomic involvement, Babinski's sign, cerebral tumour or communicating hydrocephalus, MPTP exposure)"," Oculogyric crises"," previous use of rasagiline or selegiline"," other anti-PD medication at any time prior to baseline"," clinically significant or unstable medical or surgical condition"," not well controlled hypertonus"," history of melanoma"," significant cognitive impairment as defined by MMSE score < 26"," psychiatric illness"," major depression [Beck Depression Inventory (short form) =15"," history of alcohol or substance abuse within the past 2 years"," experimental medications within 60 days prior to baseline"," Q10 (in daily doses > 300 mg) within 120 days prior to baseline"," sympathomimetics (including over-the-counter remedies - nasal or oral), dextromethorphan, pethidine or St. John's Wort within the 7 days prior to baseline"," antidepressants within 42 days prior to baseline"," ciprofloxacin, a potent CYP 1A2 inhibitor within 7 days prior to baseline"," MAO inhibitors including reserpine or methyldopa within the three months prior to baseline"," treatment with an anti-emetic or antipsychotic medication with central dopamine antagonist activity within the six months prior to baseline"," women who are not postmenopausal, surgically sterilized, or using adequate birth control [oral birth control pills, IUD, or a long acting injectable form of contraception, barrier methods alone (i.e., condom) are not sufficient]"," women of childbearing potential without a negative pregnancy test at screening"," nursing women"
"Jansen (1994)","Clozapine in the treatment of tremor in Parkinson's Disease","Acta Neurol. Scand.","1994","Quasi-experimental study","To evaluate antitremor effects of clozapine as add-on therapy for iPS-patients","clozapine",NA,NA,"Clozapine aditionally to usual antiparkinson medication. Starting dose 6.25mg qd, if necessary increase each third day with dose split to bid. Study duration of six months with evaluations every fortnight. Every 4 weeks UPDRS motor evaluation. Changes of other parkinson medication during study were not allowed.","iPS according to unknown clinical criteria"," troublesome tremor despite optimal antiparkinsonian treatment",NA,NA,NA,NA,NA,NA,"dementia with MMST less than 18 points"," history of neuropsychiatric illness"," psychosis"," vivid dreaming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jitkritsadakul et al. 2015","Exploring the effect of electrical muscle stimulation as a novel treatment of intractable tremor in Parkinson's disease","J. Neurol. Sci.","2015","Quasi-experimental study","To determine the efficacy of electrical muscle stimulation as a treatment for drug resistant tremor in iPS-patients","other",NA,NA,"Hand tremor at rest and during postural positions assessed with the tremor analysis device which resulted in tremor parameters such as peak magnitude, the root mean square of angular velocity, frequency, and the dispersion of tremor a. before and b. during EMS. EMS was administered with parameters determined by slowly raising pulse amplitudes until tetanic muscle contraction occurred without pain. Stimulation lasted 10secs.","iPS-patient according to UK Brain Bank criteria"," medically refractory type I tremor according to the MDS consensus paper"," irreponsiveness of tremor to more than two different medications",NA,NA,NA,NA,NA,"history of cardiac arrthythmia seizures or cerebral ischaemia"," pregnancy"," concomitant medication potentiating or attenuating tremor, including antihistamines, thyroid hormones, benzodiazepines, anticonvulsants, and illicit drugs"," subjects with implanted electrical devices, such as cardiac pacemaker, deep brain stimulation devices and intrathecal baclofen pumps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jost et al. 2008","Rasagilin im klinischen Alltag - Ergebnisse einer Anwendungsbeobachtung bei Parkinson-Patienten mit einer Kombinationstherapie","Fortschr Neurol Psychiat","2008","Quasi-experimental study","investigate efficacy and tolerability of rasagiline under conditions of daily living","rasagiline",NA,NA,"iPS-patients received 1mg rasagilin qd as add-on for four months. Clinical evaluation at beginning, after four weeks and after four months. Concomitant parkinsonian medication remained unaltered.","NA",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kadkhodaie et al. 2019","Effect of eccentric-based rehabilitation on hand tremor intensity in Parkinson disease","Neurol. Sci.","2019","Randomised-controlled trial (RCT)","evaluate Effect of eccentric-based rehabilitation on hand tremor intensity in iPS","physical_exercise",NA,NA,"Moderate eccentric training three days per week for six weeks with 35-45min per session and assisted by occupational therapist. Targets were elbow flexor, wrist flexor and extensors muscle groups. Each muscle group trained with three sets of 10 repetitions of eccentric contraction with 1-2min rest between sets.","iPS according to UK Brain Bank criteria"," Hoehn and Yahr stages 1 to 4"," visible hand tremor uni- or bilterally",NA,NA,NA,NA,NA,"comorbidity interfering with designed exercises"," lack of ability to complete excercise sessions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaut et al. 2011","Stochastic resonance therapy in Parkinson's disease","NeuroRehabilitation","2011","Randomised-controlled trial (RCT)","To assess the effects of stochastic whole body vibration","other",NA,NA,"Patients were randomly assigned to sham or experimental group. a. experimental group received 5 cycles of stochastic WBV on three days within five days. Cycle of five stimulus trains of 60s duration with a frequency of 6.5Hz and 60s resting time in between. b. control group received sham treatments with 1Hz (lowest frequency available).","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"signs of dementia"," atypical or secondary parkinsonism"," nephrolithiasis"," relevant orthopedic disease","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King et al. 2009","Short-term effects of vibration therapy on motor impairments in Parkinson's disease","NeuroRehabilitation","2009","Randomised-controlled trial (RCT)","To evaluate the influence of vibration on motor symptoms and functional measures in iPS by delivering sound waves to the whole body","other",NA,NA,"Vibrations applied by physioacoustic method. Arm chair run by software produced controlled sound vibrations from six speakers for whole body involvement in effect. Adminstered in 5 consecutive series lasting one minute each, one minute rest in between. Assessment by UPDRS first. Two participants studied in parallel, one first vibration, other one started with rest in single-blind cross-over design.","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"signs of dementia"," diseases imparing gait or coordination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koller et al. 1987","Adjuvant Therapy of Parkinsonian tremor","Arch. Neurol.","1987","Quasi-experimental study","To study the effects of propranolole, primidone and clonazepam ass add-on therapy for iPS tremor","propranolole"," primodone"," clonazepam","Patients received either a. 80mg  qd for 1 week and 160mg afterwards, b. primidone 50mg qd for 1 week, 125mg for another week and 250mg qd afterwards), or c. clonazepam 1mg qd at first week and increase of 1mg weekly up to 4mg qd. Tremor evaluated after highest dose intake for one month.","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koller et al. 1987.1","Adjuvant Therapy of Parkinsonian tremor","Arch. Neurol.","1987","Quasi-experimental study","To study the effects of propranolole, primidone and clonazepam ass add-on therapy for iPS tremor","propranolole"," primodone"," clonazepam","Patients received either a. 80mg  qd for 1 week and 160mg afterwards, b. primidone 50mg qd for 1 week, 125mg for another week and 250mg qd afterwards), or c. clonazepam 1mg qd at first week and increase of 1mg weekly up to 4mg qd. Tremor evaluated after highest dose intake for one month.","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koller et al. 1987.2","Adjuvant Therapy of Parkinsonian tremor","Arch. Neurol.","1987","Quasi-experimental study","To study the effects of propranolole, primidone and clonazepam ass add-on therapy for iPS tremor","propranolol"," primodone"," clonazepam","Patients received either a. 80mg  qd for 1 week and 160mg afterwards, b. primidone 50mg qd for 1 week, 125mg for another week and 250mg qd afterwards), or c. clonazepam 1mg qd at first week and increase of 1mg weekly up to 4mg qd. Tremor evaluated after highest dose intake for one month.","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kulisevsky et al. 2002","A double-blind crossover, placebo-controlled study of the adenosine A2A antagonist theophylline in Parkinson's disease","Clin. Neuropharmacol.","2002","Randomised-controlled trial (RCT)","To test for the effects of stable plama levels of theophylline on the long-duration response and the short-duration response to levodopa in advanced iPS-patients","adenosine_antagonist",NA,NA,"Treatment for 15 days with a. 150mg theophylline bid and b. placebo bid; dosage was adjusted according to plasmatic levels during first week. After 15 days levodopa washout (but not theophylline or placebo) for four days and, finally, levodopa challenge was performed.","iPS-patient according to unknown clinical criteria"," treatment with levodopa as only medication at least two months before entering the trial",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laihinen et al. 1992","Comparison of lisuride and bromocriptine in the treatment of advanced Parkinson’s disease","Acta Neurol. Scand.","1992","Randomised-controlled trial (RCT)","Compare therapeutic efficacy of lisuride with bromocriptine","dopamine_agonist",NA,NA,"a. lisuride and placebo or b. bromocriptine and placebo as add-on therapy to levodopa or anticholinergics was administered. Patients randomly assigned to groups and optimal dosage found within 4-8 weeks. Therapy continued for further four weeks. After wash-out period of max 2 weeks, each group received the other drug and placebo.","iPS according to unknown clinical criteria"," long-term levodopa treatment and motor fluctuations",NA,NA,NA,NA,NA,NA,"age of more than 80 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levin et al. 2010","Effect of dopamine agonist pramipexole (mirapex) on tremor, affective disorders and quality of life in patients with Parkinson’s disease","Zh Nevrol Psikhiatr Im SS Korsakova","2010","Quasi-experimental study","To evaluate the effects of pramipexole on motor symptoms in iPS-patients","levodopa",NA,NA,"six months pramipexole therapy as add-on or monotherapy. Individual dose based on clinical impression","iPS according to UK Brain Bank criteria",NA,NA,NA,NA,NA,NA,NA,"signs of dementia"," atypical parkinsonian syndromes"," short psychological status scale scores of less than 25"," concomitant allergies"," psychosis"," severe depression"," comorbid medical or neurological conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lew (2013)","Rasagiline treatment effects on parkinsonian tremor","Int. J. Neurosci.","2013","Randomised-controlled trial (RCT)","To present data illustrating effect of rasagiline on tremor in iPS-patients with data from four the ADAGIO study","rasagiline",NA,NA,"Two phases of trial each of 36 weeks duration. Randomisation to four groups, either with delayed-onset or immediate start of rasagiline. Only 1mg arm along with two placebo groups is compared. Specifically, patients received a. placebo or b. rasagiline 1mg qd for 36 weeks and consecutively both groups rasagiline. No other medication was allowed according to the protocol","iPS patients with at least two cardinal motor symptoms"," age betweeen 30 and 80 years","  Hoehn and Yahr stage of three or less","",NA,NA,NA,NA,"Concomitant medication with any antiparkinsonian medication for more than three weeks"," medication with rasagiline or selegiline at any dose or medication with coenzyme Q10 with more than 300mg daily in the previous 120 days"," Atypical or secondary parkinsonism"," disease duration of more than 18 months","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lew (2013).1","Rasagiline treatment effects on parkinsonian tremor","Int. J. Neurosci.","2013","Randomised-controlled trial (RCT)","To present data illustrating effect of rasagiline on tremor in iPS-patients with data from four the TEMPO study","rasagiline",NA,NA,"Patients received a. placebo or b. rasagiline 1mg qd. After one week of titration study could be increased to 2mg (data not included). Outcomes were assessed after further 25 weeks. No changes in medication were allowed according to the protocol","iPS patients with at least two cardinal motor symptoms"," aged of 35 years or more","  Hoehn and Yahr stage of three or less","",NA,NA,NA,NA,"Atypical or secondary parkinsonism"," unstable medical problems including congestive heart failure of New York Heart Association class II or greater"," psychiatric conditions that compromise the ability to give informed consent","  subjects with significant cognitive impairment as defined by MMSE score < 23"," subjects with clinically significant depression"," subjects treated with levodopa, dopamine agonists, selegiline or amantadine"," Concomitant medication with antidepressants except for  amitryptiline, paroxetine, sertraline, fluovoxamine or trazodone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Li et al. 2018","Acupuncture modulates the Cerebello-Thalamo-Cortical Circuit and Cognitive Brain Regions in Patiens of Parkinson's Disease with Tremor","Front. Aging Neurosci.","2018","Randomised-controlled trial (RCT)","To investigate the effects of acupuncture on tremor in iPS-patients","other",NA,NA,"Patients randomly assigned to a, true acupuncture group - TAG,  b. sham acupuncture group - SAG or c. waiting group - WG. a. stainless steel needles inserted for 2.0-3.0cm into DU2, that is Baihui, GB20, that is Fengchi and Chorea-Tremor Controlled Zone. Reinforcing reducing method performed every 10min. within 30min needle retention time. b. Needles next to above named points inserted, no manipulation to needle performed. c. 12 weeks medication only, afterwards true accupuncture.","iPS according to UK Brain Bank criteria"," tremor at rest in at least one upper or lower extremity (item 20 in the UPDRS)",NA,NA,NA,NA,NA,NA,"secondary parkinsonism"," atypical parkinsonism"," advanced iPS, that is Hoehn and Yahr stages of more than 4"," age less than 45 or greater than 80 years"," history of other neurological disorders or head trauma"," left handedness"," cognitive impairment"," contraindications for fMRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lieberman et al. 1997","Clinical evaluation of pramipexole in advanced Parkinson's disease: Results of a double-blind, placebo-controlled, parallel-group study.","American Academy of Neurology","1997","Randomised-controlled trial (RCT)","To compare the efficacy, safety and tolerability of pramipexole to placebo in advanced iPS with motor fluctuations under levodopa","dopamine_agonist",NA,NA,"At first visit every recording of concomitant medication. At visit two randomization to a. pramipexole or b. matching placebo. Up to seven weeks ascending dose phase during which pramipexole was titrated from 0.375mg to 4.5mg tid. Dosage increased incrementally until stabile clinical examination or AE. Dose of levodopa and carbidopa could be reduced if possible. Maintenance dose phase up to 24 weeks.","iPS according to unknown clinical criteria"," age of at least 30 years"," Hoehn and Yahr stage 2 to 4"," motor fluctuations"," stable levodopa dosage for at least 30 days",NA,NA,NA,"atypical or secondary parkinsonism"," cognitive impairment"," second- or third-degree AV block or SSS"," resting heart rate below 50 BPM"," congestive heart failure"," myocardial infarction within 6 months of the 
study"," clinically significant liver or renal disease"," active 
neoplastic disease"," history of stereotactic brain surgery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotan et al. 2014","Cannabis (medical marijuana) treatment for motor and non-motor symptoms of Parkinson disease: an open-label observational study","Clin. Neuropharmacol.","2014","Quasi-experimental study","NA","cannabis",NA,NA,"Patients tested in OFF before taking their regular medication. UPDRS was rated among others tests ans questionnaires. Afterwards smoking of regular dosis cannabis with measurements repeated 30 minutes later by two raters","iPS according to unknown clinical criteria"," permission to smoke cannabis from Israel Minstry of Health as add-on therapy because of insufficient iPS medication or to treat combat pain"," treatment with cannabis on daily basis for at least two motnhs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macht et al. 2000","Effects of Relaxation Training and Music in Parkinson's Disease","Verhaltenstherapie","2000","Randomised-controlled trial (RCT)","To compare the effects of progressive muscle relaxation (PMR) and listening to music on motor symptoms in iPS-patients","physical_therapy",NA,NA,"Patients randomly assigned to two groups, a. Five sessions of Progressive Muscle Relaxation or b. five sessions listening to ""Kleine Nachtmusik"" for twenty minutes on five consecutive days. Tremor assessment with the ""tremormeter""","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"Hoehn and Yahr stage greater than 4"," severe depression or other psychiatric disorder"," experience with relaxation techniques before study inclusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maeda et al. 2015","Zonisamide in the early stage of Parkinson's disease.","Neurol. Clin. Neurosci.","2015","Quasi-experimental study","investigate effects of zonisamide on the early stages of iPS","zonisamide",NA,NA,"After first evaluation patients received 25mg zonisamid qd. Visited after 4, 12, 20 and 28 weeks.","iPS according to UK Brain Bank criteria"," disease duration of less than 3 years"," levodopa and decarboxylase inhibotor only or only small amounts of dopamine agonists"," MMST of less than 23",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mailland et al. 2011","Alpha-dihydroergocryptine in the Long-term Therapy of Parkinson’s Disease","Drug Res. formerly Arzneim.-Forsch.","2011","Quasi-experimental study","To investigate the safety of alpha-DHEC","dopamin_agonist",NA,NA,"patients received alpha-DHEC over six months, initial dose 10mg qd, increased up to median dose of 30mg qd. at first three months or 40 mg month 4 to 6 qd.","iPS according to unknown clinical criteria"," treatment with levodopa and alpha-DHEC",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malsch et al. 2001","Monotherapy of Parkinson's disease with budipine: A randomized double-blind comparision to amantadine.","Fortschr Neurol Psychiatr","2001","Randomised-controlled trial (RCT)","To compare budipine and amantadine with respect to efficacy and safety in monotherapy of mildly to moderately affected iPS-patients","budipine"," amantadine",NA,"Patients randomly assigned to a. budipine or b. amantadine. Evaluation by Webster-Rating-Scale after 1, 2, 3, 4, 6, 8 and 12 weeks. Bradykinesia, rigidity and tremor separately analysed.","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark et al. 1989","Long-term efficacy of controlled-release carbidopa/levodopa in patients with advanced Parkinson's disease.","Ann. Clin. Lab. Sci.","1989","Quasi-experimental study","To observe the long-term effects of controlled-release levodopa on motor symptoms of iPS-patients","levodopa",NA,NA,"Controlled-release levodopa at individual dosage and scheme was administered and changes were assessed after 12 months. Adjustments of other medication was allowed","iPS according to unknown clinical criteria"," presence of motor fluctuations"," continued use of extended release levodopa formulation after participation in previous RCT",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentenopoulos et al. 1989","Piribedil Therapy in Parkinson's Disease Use of the Drug in the Retard Form","Clin. Neuropharmacol.","1989","Quasi-experimental study","evaluate the efficacy of piribedil in iPS-patients","dopamine_agonist",NA,NA,"previous antiparkinsonian medication including levodopa, anticholinergics and amantadine remained stable. Over 20 weeks pirbedil was administered starting with 50mg in cr formulation, weekly increment of 50mg up to maxmum of 200mg daily. Weekly examinations during first month, afterwards monthly","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mizuno et al. 1995","Pergolide in the treatment of Parkinson's Disease","Neurology","1995","Quasi-experimental study","To evaluate the efficacy and safety of pergolide for iPS-patients","pergolide",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mizuno et al. 1995.1","Pergolide in the treatment of Parkinson's Disease","Neurology","1995","Randomised-controlled trial (RCT)","To evaluate the efficacy and safety of pergolide for the treatment of iPS-patients","pergolide"," bromocriptine",NA,"Short-term double-blind study: 345 Patients randomly assigned to a. pergolide or b. bromocriptin. Up to day 14 fixed amount of either pergolide or bromcriptin. maintenance dosage thereafter determined for individual patient.","NA",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mizuno et al. 2017","A randomized double-blind placebo-controlled phase III trial of selegiline monotherapy for early parkinson disease","Clin Neuropharmacol","2017","Randomised-controlled trial (RCT)","To evaluate the efficacy and safety of selegiline monotheray in patients with iPS","selegiline",NA,NA,"Subjects were randomised to a. placebo or b. oral selegline. At first two weeks 1 mg qd was administered, at weeks 2-3 2.5mg bid, week 4-5 5mg in the morning and 2.5mg in the afternoon and from week 6 onwards 5mf bid","IPS according to clinical diagnosis according to Brain Bank criteria"," age between 20 and 75 years"," motor symptoms for less than five years"," hoehn and yahr stage of 1 to 3"," no therapy with antiparkinson agents or less than 12 weeks of treatment"," updrs scores of ten or greater",NA,NA,"Treatment with pethidine, tramadol, tricyclic antidepressants, selective serotonin reuptake inhibitors"," certain antihistaminic drugs or drugs possibly affecting PD symptoms within three weeks before first medication intake"," patients suffereing from concomitant impaired consciousness, hallucinations, delusions and abnormal disorders"," therapy for epilepsy"," patients with serious complications, e.g., cardiovascular, renal, hepatic or hematologic disorders"," patients with past or current abuse of central nervous system stimulants such as antihypnotic drugs or cocaine"," female patients whoe were pregnant or lactating or were willing to become pregnang during the trial"," patients who had participated in other clinical trials with selegiline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moeller et al. 2005","Long-term Efficacy and Safety of Pramipexole in Advanced Parkinson's Disease: Results From a European Multicenter Trial","Mov. Disord.","2005","Randomised-controlled trial (RCT)","To compare the efficacy, safety and tolerability of pramipexole compared to placebo in advanced iPS-patients","dopamine_agonist",NA,NA,"30 days before randomization washout of dopamine agonists, iPS-patients randomized to a. pramipexole and b. placebo. Ascending dose phase of seven weeks, maitenance phase of up to 24 weeks.","advanced iPS according to unknown clinical criteria"," presence of motor fluctuations under levodopa treatment as end-of-dose phenomena",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
